ID,Centro,Orden,Clase de orden,Aviso,Plan mant.prev.,Fecha entrada,Fe.inic.extrema,Fe.inicio real,Fe.fin extrema,Fin real (hora),Pto.tbjo.resp.,Grupo planif.,Ubicac.técnica,Equipo,Texto breve,Status sistema,TotalCostesPlan,Cst.tot.reales
,0954,5397665,M03,10790413,,10/06/2014,10/07/2014,09/07/2014,10/07/2014,15:00:00,STUB00,007,DUC-TR-GSD-D0086-TRM01-TRD02,,DESFOGUE TRAMPA Y COLOCACIÓN DE BRIDAS C,CERR NOTI IMPR KKMP NLIQ PREC,49458.24,53647.04
,0954,5399503,M03,10791944,,30/06/2014,01/07/2014,01/07/2014,02/07/2014,18:00:00,PQ_TUB00,007,DUC-TR-PQS-D0002-TRM01,,COLOCACION DE ENVOLVENTE TIPO SPLIT - SL,CERR NOTI IMPR DMNV FCAP KKMP NLIQ PREC,28850.64,31599.54
,0954,5399681,M03,10792046,,01/07/2014,02/07/2014,02/07/2014,02/07/2014,17:00:00,STUB10,007,EMI30002,,RECORRIDO Y APRIETE DE ESPARRAGOS PARA E,CERR NOTI IMPR KKMP NLIQ PREC,24729.12,25776.32
,0954,5400009,M03,10792452,,07/07/2014,08/07/2014,08/07/2014,08/07/2014,15:00:00,SAUT10,009,ERM30106,20042731,FALLA SPC-01 DE MI-029 TROY INDUSTRIAS,CERR NOTI IMPR DMNV KKMP NLIQ PREC,8243.04,8243.04
,0954,5400150,M03,10792694,,08/07/2014,18/07/2014,18/07/2014,18/07/2014,15:00:00,STUB00,007,DUC-DI-GSD-REDMI-TRONC,20062468,MANTENIMIENTO PREVENTIVO A VÁLVULA ESFER,CERR NOTI IMPR KKMP NLIQ PREC,20607.6,20607.6
,0954,5400151,M03,,,08/07/2014,17/07/2014,17/07/2014,18/07/2014,17:00:00,STUB00,007,ERM30016,,APERTURA DE LINEAS. COLOCACION DE JUNTAS,CERR NOTI IMPR KKMP NLIQ PREC,45336.72,47692.92
,0954,5400153,M03,,,08/07/2014,11/08/2014,,11/08/2014,00:00:00,STUB00,007,EMI30002,,DESMBRIDADO Y EMBRIDADO DE TUBERÍA PARA,ABIE DMNV KKMP PREC,20607.6,0
,0954,5400260,M03,,,09/07/2014,17/07/2014,17/07/2014,18/07/2014,17:00:00,STUB00,007,DUC-TR-GSD-D0019-TRM05-TED01,,APERTURA DE LINEAS Y COLOCACIÓN DE JUNTA,CERR NOTI IMPR KKMP NLIQ PREC,41215.2,45142.2
,0954,5400261,M03,,,09/07/2014,14/07/2014,14/07/2014,18/07/2014,15:00:00,STUB00,007,DUC-TR-GSD-D0019-TRM04-TRD02,,CORTE FRÍO DE LINEA IGUALADORA. DESEMBRI,CERR NOTI IMPR KKMP NLIQ PREC,65944.32,71573.02
,0954,5400479,M03,,,16/07/2014,04/08/2014,04/08/2014,05/08/2014,00:00:00,STUB00,007,DUC-TR-GSD-D0086-TRM01-TRD02,,APERTURA DE LINEAS. RETIRO DE BRIDAS CIE,LIB. NOTP IMPR DMNV MOVM NLIQ PREC,58175.94,53074.5
,0954,5400539,M03,10793301,,16/07/2014,16/07/2014,17/07/2014,17/07/2014,15:00:00,STUB10,007,DUC-TR-GSD-D0001-TRM06-TED01,20062145,APERTURA DE LINEAS. RECORRIDO DE ESPARRA,CERR NOTI IMPR KKMP NLIQ PREC,5151.9,5151.9
,0954,5400604,M03,10793183,,15/07/2014,15/07/2014,15/07/2014,18/07/2014,24:00:00,PQ_TUB00,007,DUC-TR-PQS-D0001-TRM03,,"COLOCACION DE ENVOLVENTE METALICO TIPO """,CTEC NOTI IMPR DMNV KKMP NLIQ PREC,70065.84,81061.44
,0954,5401286,M03,10793679,,22/07/2014,29/07/2014,29/07/2014,30/07/2014,15:00:00,STUB10,007,DUC-TR-GLP-D0001-TRM05,,SOLDADURA DE ENVOLVENTE RAM FILL TIPO B,CERR NOTI IMPR KKMP NLIQ PREC,8243.04,8243.04
,0954,5401380,M03,10793828,,23/07/2014,28/07/2014,28/07/2014,28/07/2014,17:00:00,STUB10,007,DUC-TR-GSD-D0014-TRM02-TED01,,REPARACION CON PUNTOS DE SOLDADURA DE GA,CERR NOTI IMPR KKMP NLIQ PREC,8243.04,8766.64
,0954,5401694,M03,10794344,,29/07/2014,29/07/2014,29/07/2014,29/07/2014,15:00:00,SAUT00,012,ESC-CH-TUB-SEP,20185234,Atencion usuario: Bloqueo y desbloqueo d,CERR NOTI IMPR KKMP NLIQ PREC,8243.04,8243.04
,0954,5402535,M03,10795106,,06/08/2014,07/08/2014,,07/08/2014,00:00:00,STUB00,007,DUC-TR-GSD-D0037-TRM01-TRD02,20155146,EMISION FUGITIVA. TRABAJOS AJUSTE Y MANI,LIB. IMPR KKMP NLIQ PREC,20607.6,0
,0954,6565997,M02,,60343,13/04/2014,28/07/2014,28/07/2014,30/07/2014,18:00:00,SCOR00,006,DUC-TR-GSD-D0014-TRM01,,"0954 TOMA DE POT GAS-30"" MINA EST3-JDC",CERR NOTI IMPR DMNV KKMP NLIQ PREC,49458.24,53647.04
,0954,6567579,M02,,60394,30/04/2014,04/08/2014,,20/08/2014,00:00:00,SCOR00,006,DUC-TR-GSD-D0001-TRM05,,"0954 TOMA POT GAS-48"" CACTUS-SFDO",LIB. IMPR DMNV FCAP KKMP NLIQ PREC,214319.04,0
,0954,6568879,M02,,70488,05/05/2014,04/08/2014,,08/08/2014,00:00:00,PQ_SGD10,004,DVC-MI-039,,0959PQ_SGD10 DVC 231.775 km LA VERONICA,ABIE DMNV KKMP PREC,41215.2,0
,0954,6569525,M02,,60301,11/05/2014,07/07/2014,07/07/2014,18/07/2014,17:00:00,SCOR00,006,DUC-TR-GLP-D0001-TRM04,,"0954 TOMA DE POT LPG-24"" CACTUS-GDL",CERR NOTI IMPR KKMP NLIQ PREC,164860.8,175332.8
,0954,6570287,M02,,60341,18/05/2014,03/07/2014,03/07/2014,03/07/2014,17:00:00,SCOR00,006,DUC-TR-GLP-D0001-TRM03,,"0954 TOMA DE POT LPG-24"" CACTUS-GDL.",CERR NOTI IMPR KKMP NLIQ PREC,16486.08,17533.28
,0954,6570288,M02,,60342,18/05/2014,19/08/2014,,21/08/2014,00:00:00,SCOR00,006,DUC-TR-GSD-D0012-TRM01,,"0954 TOMA DE POT GAS-36"" NVO TEAPA-MINA",LIB. IMPR KKMP NLIQ PREC,49458.24,0
,0954,6571973,M02,,43667,01/06/2014,03/07/2014,03/07/2014,03/07/2014,10:00:00,SRES00,004,DUC-TR-GSD-D0092-TRM03-CRUCE,20180268,"Mantenimiento PA. Nvo. Progreso TGN 12""",CERR NOTI IMPR KKMP NLIQ PREC,6182.28,6182.28
,0954,6573039,M02,,60257,08/06/2014,04/07/2014,04/07/2014,04/07/2014,11:00:00,SCOR00,006,DVP-MI-188,,0954 TOMA DE POTENCIALES JALTIPAN,CERR NOTI IMPR KKMP NLIQ PREC,8243.04,8243.04
,0954,6573040,M02,,60257,08/06/2014,04/07/2014,04/07/2014,04/07/2014,17:00:00,SCOR00,006,ESC-CH-TUB,,0954 TOMA DE POTENCIALES CHINAMECA,CERR NOTI IMPR KKMP NLIQ PREC,8243.04,9290.24
,0954,6573041,M02,,60303,08/06/2014,14/07/2014,14/07/2014,15/07/2014,17:00:00,SCOR00,006,DVP-MI-173,,"0954 TOMA POT GAS-48"" CACTUS-SFDO",CERR NOTI IMPR FCAP KKMP NLIQ PREC,32972.16,35066.56
,0954,6573075,M02,,60256,08/06/2014,21/07/2014,21/07/2014,21/07/2014,09:00:00,SCOR00,006,DVP-MI-187,,0954 TOMA DE POTENCIALES PURINA,CERR NOTI IMPR KKMP NLIQ PREC,4121.52,4121.52
,0954,6573076,M02,,60256,08/06/2014,21/07/2014,21/07/2014,21/07/2014,11:00:00,SCOR00,006,DVP-MI-186,,0954 TOMA DE POTENCIALES MASECA,CERR NOTI IMPR KKMP NLIQ PREC,4121.52,4121.52
,0954,6573077,M02,,60256,08/06/2014,21/07/2014,21/07/2014,21/07/2014,13:00:00,SCOR00,006,DVP-MI-185,,0954 TOMA DE POTENCIALES MINSA,CERR NOTI IMPR DMNV KKMP NLIQ PREC,4121.52,4121.52
,0954,6573078,M02,,60256,08/06/2014,21/07/2014,21/07/2014,21/07/2014,17:00:00,SCOR00,006,DVP-MI-184,,0954 TOMA DE POTENCIALES MAT. PRIMAS,CERR NOTI IMPR KKMP NLIQ PREC,4121.52,5168.72
,0954,6573079,M02,,60328,08/06/2014,04/07/2014,04/07/2014,04/07/2014,17:00:00,SCOR00,006,DVC-MI-047,,0954 TOMA DE POTENCIALES DDV 47,CERR NOTI IMPR KKMP NLIQ PREC,16486.08,17533.28
,0954,6573915,M02,,60258,15/06/2014,21/07/2014,21/07/2014,21/07/2014,09:00:00,SCOR00,006,DVP-MI-175,,0954 TOMA DE POTENCIALES HOSPITAL MINA,CERR NOTI IMPR KKMP NLIQ PREC,4121.52,4121.52
,0954,6573916,M02,,60258,15/06/2014,21/07/2014,21/07/2014,21/07/2014,11:00:00,SCOR00,006,DVP-MI-182,,0954 TOMA DE POTENCIALES ERA,CERR NOTI IMPR KKMP NLIQ PREC,4121.52,4121.52
,0954,6573917,M02,,60258,15/06/2014,21/07/2014,21/07/2014,21/07/2014,13:00:00,SCOR00,006,DVP-MI-183,,0954 TOMA DE POTENCIALES REP. GAS BP,CERR NOTI IMPR KKMP NLIQ PREC,4121.52,4121.52
,0954,6573918,M02,,60258,15/06/2014,21/07/2014,21/07/2014,21/07/2014,17:00:00,SCOR00,006,DVP-MI-181,,0954 TOMA DE POT AGRO COSOLEACAQUE,CERR NOTI IMPR KKMP NLIQ PREC,4121.52,5168.72
,0954,6573919,M02,,60338,15/06/2014,28/07/2014,28/07/2014,30/07/2014,17:00:00,SCOR00,006,DVC-MI-023,,0954 TOMA DE POTENCIALES DDV 23,CERR NOTI IMPR KKMP NLIQ PREC,49458.24,52599.84
,0954,6573920,M02,,60338,15/06/2014,31/07/2014,31/07/2014,31/07/2014,10:00:00,SCOR00,006,DVP-MI-189,,0954 TOMA DE POTENCIALES DDV 23,CERR NOTI IMPR KKMP NLIQ PREC,6182.28,6182.28
,0954,6573921,M02,,60338,15/06/2014,31/07/2014,31/07/2014,31/07/2014,17:00:00,SCOR00,006,DVP-MI-190,,0954 TOMA DE POTENCIALES PALOMAS,CERR NOTI IMPR KKMP NLIQ PREC,6182.28,7229.48
,0954,6573922,M02,,60338,15/06/2014,31/07/2014,31/07/2014,31/07/2014,12:00:00,SCOR00,006,DVP-MI-191,,0954 TOMA DE POTENCIALES SALADINO,CERR NOTI IMPR KKMP NLIQ PREC,4121.52,4121.52
,0954,6573926,M02,,60302,15/06/2014,31/07/2014,31/07/2014,31/07/2014,18:00:00,SCOR00,006,DUC-TR-GLP-D0001-TRM05,,"0954 TOMA POTENCIALES LPG-24"" CACTUS-GDL",CERR NOTI IMPR KKMP NLIQ PREC,16486.08,18056.88
,0954,6574870,M02,,60345,22/06/2014,25/08/2014,,26/08/2014,00:00:00,SCOR00,006,DUC-TR-GLP-D0010-TRM01,,"0954 TOMA DE POT LPG-12"" PAJARITOS-MINA",ABIE DMNV KKMP NLIQ PREC,32972.16,0
,0954,6575230,M02,,84074,22/06/2014,19/08/2014,,20/08/2014,00:00:00,PQ_COR00,006,DUC-TR-PQS-D0003-TRM01,,0959 TOMA POTENCIALES  CARBONO 10 CS-CJ,ABIE DMNV KKMP PREC,0,0
,0954,6575830,M02,,51083,29/06/2014,07/07/2014,07/07/2014,07/07/2014,15:00:00,SSEG10,004,DVC-MI-033,,Recorrido Celaje Terrestre D.D.V. 33,CERR NOTI IMPR DMNV KKMP NLIQ PREC,8243.04,8243.04
,0954,6575892,M02,,60324,29/06/2014,22/07/2014,22/07/2014,22/07/2014,15:00:00,SCOR00,006,DVC-MI-034,,0954 TOMA DE POTENCIALES DDV 34,CERR NOTI IMPR KKMP NLIQ PREC,16486.08,16486.08
,0954,6576571,M02,,,05/07/2014,07/07/2014,07/07/2014,10/07/2014,18:00:00,SCOR00,006,DUC-TR-GSD-D0003-TRM01,,TOMA DE PARAMETROS DE ESTUDIO CIS REALIZ,CERR NOTI IMPR DMNV KKMP NLIQ PREC,32972.16,35590.16
,0954,6576928,M02,,60327,06/07/2014,24/07/2014,24/07/2014,25/07/2014,17:00:00,SCOR00,006,DVC-MI-030,,0954 TOMA DE POTENCIALES DDV 30,CERR NOTI IMPR FCAP KKMP NLIQ PREC,32972.16,35066.56
,0954,6576929,M02,,60246,06/07/2014,18/08/2014,,18/08/2014,00:00:00,SCOR00,006,DUC-DI-GSD-REDMI-RAMAL,20177728,0954 TOMA DE POTENCIALES AGRO PAJARITOS,LIB. IMPR KKMP NLIQ PREC,2060.76,0
,0954,6576930,M02,,60246,06/07/2014,18/08/2014,,18/08/2014,00:00:00,SCOR00,006,DUC-DI-GSD-REDMI-RAMAL,20177715,0954 TOMA DE POT CASE GRAL PAJATOS,LIB. IMPR KKMP NLIQ PREC,2060.76,0
